,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
8767,14.0,15.0,30.45600000000448,+,2.0,23.0,1.284000000000418,LRG,FRII,213.8769,2.38369
8769,14.0,16.0,9.40800000000067,-,1.0,25.0,13.583999999999676,LRG,FRII,214.0392,-1.42044
8771,14.0,16.0,43.03200000000672,-,2.0,56.0,11.291999999999687,LRG,COMPACT,214.1793,-2.9364700000000004
8774,14.0,16.0,56.31600000000901,+,2.0,22.0,33.311999999999315,LRG,COMPACT,214.23465,2.37592
8776,14.0,17.0,39.22800000000876,+,0.0,40.0,4.008000000000038,LRG,FRII,214.41345,0.6677799999999999
8777,14.0,18.0,24.69600000000128,+,1.0,7.0,27.299999999999898,LRG,FRII,214.6029,1.12425
8778,14.0,18.0,28.152000000004733,+,1.0,27.0,54.28799999999967,LRG,FRII,214.6173,1.46508
8779,14.0,18.0,41.25600000000105,+,0.0,23.0,59.20800000000014,LRG,FRII,214.6719,0.3997800000000001
8780,14.0,18.0,59.1840000000002,-,3.0,22.0,51.81600000000074,LRG,COMPACT,214.7466,-3.38106
8781,14.0,19.0,8.148000000006164,+,1.0,8.0,55.49999999999983,LRG,COMPACT,214.78395,1.14875
8782,14.0,19.0,8.1840000000048,+,6.0,28.0,36.300000000000026,LRG,COMPACT,214.7841,6.47675
8783,14.0,19.0,13.33200000000815,-,0.0,13.0,52.89600000000004,LRG,FRII,214.80555,-0.23136
8784,14.0,19.0,24.707999999999544,+,0.0,16.0,59.91599999999998,LRG,COMPACT,214.85295,0.28331
8785,14.0,19.0,24.816000000008245,-,1.0,49.0,32.01600000000042,LRG,FRII,214.8534,-1.82556
8786,14.0,19.0,32.34000000000478,+,0.0,31.0,18.08400000000006,LRG,FRII,214.88475,0.5216900000000001
8788,14.0,20.0,33.39600000000189,-,0.0,32.0,34.800000000000324,LRG,FRII,215.13915,-0.543
8789,14.0,20.0,34.152000000005245,-,0.0,54.0,59.79600000000005,LRG,COMPACT,215.1423,-0.91661
8790,14.0,20.0,55.64399999999736,-,0.0,9.0,38.916,LRG,COMPACT,215.23184999999995,-0.16081
8791,14.0,21.0,11.088000000001015,+,2.0,48.0,32.79599999999988,LRG,FRII,215.2962,2.80911
8794,14.0,22.0,35.61600000000482,-,1.0,52.0,12.395999999999674,LRG,FRII,215.6484,-1.87011
8795,14.0,23.0,3.444000000006469,+,1.0,39.0,58.71600000000001,LRG,COMPACT,215.76435,1.66631
8796,14.0,23.0,12.372000000007404,+,2.0,20.0,35.4120000000006,LRG,FRII,215.80155,2.34317
8797,14.0,23.0,26.700000000008544,-,0.0,49.0,56.49600000000007,LRG,FRII,215.86125,-0.83236
8798,14.0,23.0,29.1480000000054,-,2.0,45.0,21.81600000000074,LRG,FRII,215.87145,-2.75606
8799,14.0,23.0,41.42400000000748,+,25.0,1.0,49.18799999999749,LRG,FRII,215.9226,25.03033
8800,14.0,23.0,56.97600000000705,+,0.0,31.0,14.988000000000028,LRG,FRII,215.9874,0.52083
8801,14.0,24.0,3.384000000007461,+,0.0,29.0,58.70399999999982,LRG,FRI,216.0141,0.49964
8802,14.0,24.0,18.86400000000336,+,0.0,55.0,12.216000000000092,LRG,COMPACT,216.0786,0.92006
8803,14.0,24.0,19.800000000006293,+,0.0,25.0,34.21199999999999,LRG,FRII,216.0825,0.42617
8804,14.0,24.0,39.492000000009,-,1.0,44.0,33.396000000000186,LRG,FRII,216.16455,-1.7426100000000002
8806,14.0,24.0,40.64399999999736,-,3.0,23.0,29.79600000000005,LRG,FRII,216.16934999999995,-3.39161
8807,14.0,24.0,56.91600000000804,+,20.0,0.0,22.71599999999694,LRG,FRII,216.23715,20.00631
8808,14.0,25.0,1.4160000000039474,-,2.0,38.0,36.70800000000057,LRG,FRII,216.2559,-2.64353
8809,14.0,25.0,9.156000000005092,-,2.0,27.0,15.804000000000258,LRG,COMPACT,216.28815,-2.45439
8810,14.0,25.0,9.19200000000373,-,1.0,16.0,1.8840000000000856,LRG,FRII,216.2883,-1.26719
8812,14.0,25.0,45.732000000001705,+,0.0,22.0,41.98799999999999,LRG,COMPACT,216.44055,0.3783299999999999
8813,14.0,25.0,50.195999999998975,-,0.0,23.0,15.683999999999898,LRG,FRII,216.45915,-0.38769
8814,14.0,25.0,50.66400000000684,+,24.0,4.0,6.70799999999673,LRG,FRII,216.4611,24.06853
8816,14.0,25.0,59.016000000004,+,1.0,38.0,23.99999999999949,LRG,FRII,216.4959,1.64
8817,14.0,26.0,12.94800000000734,+,2.0,0.0,39.60000000000044,LRG,COMPACT,216.55395,2.011
8820,14.0,26.0,23.748000000001355,-,3.0,21.0,28.80000000000024,LRG,COMPACT,216.59895,-3.358
8822,14.0,26.0,30.408000000005018,+,1.0,42.0,36.10799999999984,LRG,FRII,216.6267,1.71003
8824,14.0,26.0,49.596000000001226,-,0.0,47.0,18.311999999999955,LRG,COMPACT,216.70665,-0.78842
8825,14.0,26.0,49.84799999999808,+,0.0,55.0,59.91599999999977,LRG,FRII,216.7077,0.93331
8826,14.0,26.0,55.10400000000374,-,2.0,49.0,20.892000000000337,LRG,COMPACT,216.7296,-2.82247
8827,14.0,26.0,55.46400000000929,-,2.0,15.0,45.10799999999975,LRG,COMPACT,216.73110000000003,-2.26253
8828,14.0,27.0,11.196000000002044,-,1.0,52.0,12.683999999999855,LRG,FRII,216.79665,-1.87019
8829,14.0,27.0,39.70800000000338,+,0.0,21.0,44.60400000000007,LRG,FRII,216.91545,0.36239
8830,14.0,27.0,46.90799999999939,+,0.0,28.0,47.38799999999998,LRG,FRII,216.94545,0.47983
8831,14.0,27.0,46.98000000000306,+,0.0,42.0,33.08400000000006,LRG,COMPACT,216.94575,0.70919
8832,14.0,27.0,52.84800000000473,-,1.0,25.0,26.399999999999864,LRG,COMPACT,216.9702,-1.424
8833,14.0,28.0,10.34400000000744,+,2.0,57.0,41.29199999999926,LRG,COMPACT,217.0431,2.96147
8834,14.0,28.0,31.224000000003542,-,1.0,24.0,8.711999999999946,LRG,FRII,217.1301,-1.40242
8835,14.0,28.0,41.91600000000804,-,3.0,27.0,7.812000000000552,LRG,COMPACT,217.17465,-3.45217
8837,14.0,29.0,30.19200000000936,-,1.0,55.0,44.29200000000037,LRG,COMPACT,217.37580000000003,-1.92897
8838,14.0,29.0,48.66000000000725,-,1.0,12.0,52.30800000000045,LRG,COMPACT,217.45275,-1.21453
8841,14.0,30.0,23.256000000002075,-,1.0,55.0,17.68800000000013,LRG,FRII,217.5969,-1.92158
8842,14.0,30.0,30.31199999999714,-,0.0,40.0,22.69199999999998,LRG,COMPACT,217.6263,-0.67297
8843,14.0,30.0,30.52800000000815,+,1.0,1.0,4.907999999999966,LRG,FRII,217.6272,1.01803
8844,14.0,30.0,31.464000000004688,-,0.0,9.0,7.992000000000026,LRG,COMPACT,217.6311,-0.15222
8845,14.0,31.0,10.488000000004549,-,1.0,33.0,37.58400000000023,LRG,FRII,217.7937,-1.56044
